"Shopping Cart for %1 in %2","Winkelwagen voor %1 in %2",module,Magento_AdvancedCheckout
"Choose  products to add to shopping cart.","Kies producten om aan uw winkelwagen toe te voegen.",module,Magento_AdvancedCheckout
Product,Product,module,Magento_AdvancedCheckout
Price,Prijs,module,Magento_AdvancedCheckout
Quantity,Hoeveelheid,module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","Producten in de Vergelijkingslijst (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Laatst bestelde producten (%1)",module,Magento_AdvancedCheckout
Products,Producten,module,Magento_AdvancedCheckout
ID,ID,module,Magento_AdvancedCheckout
SKU,Art.nr.,module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","Recent vergeleken producten (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","Recent bekeken producten (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","Toevoegen aan winkelwagen via art.nr.",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Voeg toe aan winkelwagen",module,Magento_AdvancedCheckout
"Wish List (%1)","Verlanglijst (%1)",module,Magento_AdvancedCheckout
Apply,Toepassen,module,Magento_AdvancedCheckout
Configure,Configureren,module,Magento_AdvancedCheckout
"Add to Order by SKU","Toevoegen aan bestelling via art.nr.",module,Magento_AdvancedCheckout
"Add to Order","Voeg toe aan bestelling",module,Magento_AdvancedCheckout
"Add Products to Order","Voeg producten toe aan bestelling",module,Magento_AdvancedCheckout
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(en) vereisen aandacht.",module,Magento_AdvancedCheckout
"Remove All","Alles verwijderen",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Slechts %1%2%3 op voorraad",module,Magento_AdvancedCheckout
"The maximum quantity allowed for purchase is %1.","De maximale aankoophoeveelheid is %1.",module,Magento_AdvancedCheckout
"The minimum quantity allowed for purchase is %1.","De minimale aankoophoeveelheid is %1.",module,Magento_AdvancedCheckout
"Specify the product's options","Geef de productopties aan.",module,Magento_AdvancedCheckout
"Receive notice when item is restocked.","Ontvang bericht wanneer product weer op voorraad is.",module,Magento_AdvancedCheckout
"Customer not found","Klant niet gevonden",module,Magento_AdvancedCheckout
"Shopping cart management disabled for this customer.","Winkelwagenbeheer uitgeschakeld voor deze klant.",module,Magento_AdvancedCheckout
"Shopping cart management is disabled for this customer.","Winkelwagenbeheer uitgeschakeld voor deze klant.",module,Magento_AdvancedCheckout
"We could not find this store.","De winkel is niet gevonden.",module,Magento_AdvancedCheckout
Customers,Klanten,module,Magento_AdvancedCheckout
